feature_id,module_id,project,layer,state,source_path,source_symbol,evidence,notes
api-route:projects/web-main/backend/api/data_preparation.py:154:list_data_preparation_plans_for_file,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,list_data_preparation_plans_for_file,ROUTER.GET /eeg/files/{file_id}/data-preparation-plans,AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:168:create_epoch_set_for_file,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,create_epoch_set_for_file,ROUTER.POST /eeg/files/{file_id}/epoch-sets,AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:193:list_epoch_sets_for_file,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,list_epoch_sets_for_file,ROUTER.GET /eeg/files/{file_id}/epoch-sets,AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:207:get_epoch_set,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,get_epoch_set,ROUTER.GET /epoch-sets/{epoch_set_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:217:update_epoch_set,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,update_epoch_set,ROUTER.PUT /epoch-sets/{epoch_set_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:235:save_bad_channel_audit_for_file,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,save_bad_channel_audit_for_file,ROUTER.POST /eeg/files/{file_id}/bad-channel-audit,AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:57:create_data_preparation_plan,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,create_data_preparation_plan,ROUTER.POST /data-preparation/plans,AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:74:list_data_preparation_plans,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,list_data_preparation_plans,ROUTER.GET /data-preparation/plans,AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:90:get_data_preparation_plan,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,get_data_preparation_plan,ROUTER.GET /data-preparation/plans/{plan_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/data_preparation.py:99:update_data_preparation_plan,feature.data-preparation,web-main,api,implemented-or-supporting,projects/web-main/backend/api/data_preparation.py,update_data_preparation_plan,ROUTER.PUT /data-preparation/plans/{plan_id},AST-discovered route/registration
